"phenotype","symbol"
"Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome, 601559 (3)","STWS"
"[Blood group, Langereis system], 111600 (3)","MCOPCB7"
"Dystonia 24, 615034 (3)","ANO3"
"{Myocardial infarction, susceptibility to}, 608446 (3)","OLR1"
"?Polydactyly, postaxial, type A6, 615226 (3)","PAPA6"
"Centronuclear myopathy 2, 255200 (3)","AMPHL"
"Ciliary dyskinesia, primary, 29, 615872 (3)","UNG2"
"{Pregnancy loss, recurrent, susceptibility to, 3}, 614391 (3)","RPRGL3"
"Glycosylphosphatidylinositol biosynthesis defect 15, 617810 (3)","GAA1"
"{Hypogonadotropic hypogonadism 16 with or without anosmia}, 614897 (3)","SEMAD"
"?Amyotrophic lateral sclerosis 16, juvenile, 614373 (3)","SRBP"
"Arterial calcification, generalized, of infancy, 2, 614473 (3)","PXE"
"Orofacial cleft-1 (2)","CL"
"Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease, 617718 (3)","ARPC1B"
"Jalili syndrome, 217080 (3)","CNNM4"
"Currarino syndrome, 176450 (3)","MNX1"
"Stuttering, familial persistent, 1, 184450 (3)","CPSQ4"
"Apparent mineralocorticoid excess, 218030 (3)","HSD11K"
"Cholestasis, intrahepatic, of pregnancy, 1, 147480 (3)","PFIC1"
"{Neuroblastoma, susceptibility to, 1}, 256700 (3)","CMT2A1"
"Pityriasis rubra pilaris, 173200 (3)","PRP"
"?Perrault syndrome 2, 614926 (3)","PRLTS2"
"?Epileptic encephalopathy, early infantile, 57, 617771 (3)","SLICK"
"Immunodeficiency with hyper IgM, type 5, 608106 (3)","HIGM5"
"Leukemia/lymphoma, T-cell (2)","TCL1B"
"[Histidinemia], 235800 (3)","HAL"
"{Nonarteritic anterior ischemic optic neuropathy, susceptibility to}, 258660 (3)","BDPLT3"
"Neurocutaneous melanosis, somatic, 249400 (3)","NCMS"
"{Diabetes mellitus, non-insulin-dependent, susceptibility to}, 125853 (3)","NPPS"
"Colorectal cancer, hereditary nonpolyposis, type 8, 613244 (3)","HNPCC8"
"Epileptic encephalopathy, early infantile, 67, 618141 (3)","EIEE67"
"Trichohepatoenteric syndrome 2, 614602 (3)","SKI2W"
"{Orofacial cleft 6}, 608864 (3)","IRF6"
"Williams-Beuren syndrome (4)","WBS"
"Cardiomyopathy, dilated, 1G, 604145 (3)","CMD1G"
"Deafness, autosomal recessive 6, 600971 (3)","DFNB6"
"Osteoglophonic dysplasia, 166250 (3)","FGFR1"
"Hypogonadotropic hypogonadism 21 with anosmia, 615271 (3)","HH21"
"Usher syndrome, type 1D/F digenic, 601067 (3)","PITA5"
"Fraser syndrome 1, 219000 (3)","FRASRS1"
"Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3)","CRYA2"
"{Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923 (3)","AHUS3"
"Hyperlysinemia, 238700 (3)","AASS"
"Amyotrophy, hereditary neuralgic, 162100 (3)","MSF1"
"Muscular dystrophy, limb-girdle, autosomal dominant 4, 618129 (3)","LGMDR1"
"Emery-Dreifuss muscular dystrophy 4, autosomal dominant, 612998 (3)","SYNE1"
"?Premature ovarian failure 2B, 300604 (3)","POF2B"
"Mitochondrial complex I deficiency, 252010 (3)","NDUFV2"
"Adams-Oliver syndrome 1, 100300 (3)","CDGAP"
"Muir-Torre syndrome, 158320 (3)","COCA2"
"Mitochondrial complex I deficiency, 252010 (3)","NDUFS2"
"{End-stage renal disease, nondiabetic, susceptibility to}, 612551 (3)","FSGS4"
"Microcephaly and chorioretinopathy, autosomal recessive, 1, 251270 (3)","GCP6"
"AICA-ribosiduria due to ATIC deficiency, 608688 (3)","AICAR"
"CHOPS syndrome, 616368 (3)","CHOPS"
"GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3)","DYT9"
"[Blood group, Auberger system], 111200 (3)","BCAM"
"Retinopathy of prematurity, 133780 (3)","FZD4"
"Baraitser-Winter syndrome 1, 243310 (3)","BRWS1"
"C1s deficiency, 613783 (3)","EDSPD2"
"Seizures, cortical blindness, microcephaly syndrome, 616632 (3)","DIAPH1"
"?Charcot-Marie-Tooth disease, X-linked dominant, 6, 300905 (3)","PDK3"
"Basal cell nevus syndrome, 109400 (3)","HPE7"
"{Hepatitis B virus, susceptibility to}, 610424 (3)","IBD25"
"Leigh syndrome, 256000 (3)","CMD1GG"
"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly, 119800 (3)","BFT"
"Mental retardation, X-linked, syndromic, Claes-Jensen type, 300534 (3)","MRXSCJ"
"Spastic paraplegia 39, autosomal recessive, 612020 (3)","OMCS"
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4, 616371 (3)","PFBMFT4"
"Small fiber neuropathy, 133020 (3)","NENA"
"{Mycobacterium tuberculosis, susceptibility to}, 607948 (3)","SP110"
"?Muscular dystrophy, congenital, Davignon-Chauveau type, 617066 (3)","MDCDC"
"{Hypogonadotropic hypogonadism 15 with or without anosmia}, 614880 (3)","HH15"
"Lacticacidemia due to PDX1 deficiency, 245349 (3)","E3BP"
"Charcot-Marie-Tooth disease, X-linked recessive, 5, 311070 (3)","CMTX5"
"Thrombocythemia 1, 187950 (3)","TPO"
"Epileptic encephalopathy, infantile or early childhood, 1, 617711 (3)","CNA1"
"Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors, 138800 (3)","RMSE2"
"Leukodystrophy, hypomyelinating, 2, 608804 (3)","PMLDAR"
"Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198 (3)","CASR"
"Vitamin K-dependent clotting factors, combined deficiency of, 2, 607473 (3)","VKORC1"
"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly, 616657 (3)","SATT"
"Cleidocranial dysplasia, 119600 (3)","AML3"
"Leiomyoma, uterine, somatic, 150699 (1)","BABL"
"{Breast-ovarian cancer, familial, susceptibility to, 3}, 613399 (3)","RAD51C"
"Deafness, autosomal recessive 93, 614899 (3)","CABP2"
"{Macular degeneration, age-related, reduced risk of}, 603075 (3)","FHR1"
"Striatonigral degeneration, infantile, 271930 (3)","NUP62"
"Chudley-McCullough syndrome, 604213 (3)","CMCS"
"Tibial muscular dystrophy, tardive, 600334 (3)","SALMY"
"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2, 613156 (3)","MDDGB2"
"Chromosome 16p13.2 deletion syndrome (4)","DEL16p13.2"
"Factor V and factor VIII, combined deficiency of, 613625 (3)","MCFD2"
"Farber lipogranulomatosis, 228000 (3)","SMAPME"
"Mitochondrial complex I deficiency, 252010 (3)","NDUFS3"
"Night blindness, congenital stationary (complete), 1F, autosomal recessive, 615058 (3)","CSNB1F"
"Dyschromatosis universalis hereditaria 1 (2)","DUH1"
"Chromosome 2q31.1 duplication syndrome (4)","DUP2q31.1"
"Spondylometaphyseal dysplasia, Kozlowski type, 184252 (3)","SPSMA"
"{Kaposi sarcoma, susceptibility to}, 148000 (3)","HGF"
"?Orofaciodigital syndrome XVII, 617926 (3)","KIAA1284"
"L-2-hydroxyglutaric aciduria, 236792 (3)","L2HGA"
"Neuropathy, hereditary sensory, type IIC, 614213 (3)","UNC104"
"Colorblindness, deutan, 303800 (3)","OPN1MW"
"Epileptic encephalopathy, early infantile, 29, 616339 (3)","AARS"
"Renal cell carcinoma, papillary, 1, familial and somatic, 605074 (3)","MET"
"Chromosome 6q25-q25 deletion syndrome (4)","DEL6q24q25"
"Acrodysostosis 1, with or without hormone resistance, 101800 (3)","CNC1"
"Cerebral creatine deficiency syndrome 3, 612718 (3)","CCDS3"
"Renal tubular acidosis, distal, AR, 611590 (3)","SPH4"
"Cataract 29, coralliform (2)","CTRCT29"
"Cataract 6, multiple types, 116600 (3)","ECK"
"Short-rib thoracic dysplasia 7 with or without polydactyly, 614091 (3)","CED2"
"Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2, 618193 (3)","TREM2"
"{Pneumococcal disease, invasive, protection against}, 610799 (3)","BACTS1"
"Hemolytic anemia due to hexokinase deficiency, 235700 (3)","RP79"
"{Rheumatoid arthritis, susceptibility to}, 180300 (3)","LYP"
"{Systemic lupus erythematosus, susceptibility to, 1}, 601744 (3)","SLEB1"
"Cataract 11, multiple types, 610623 (3)","CTPP4"
"Ectopia lentis, familial, 129600 (3)","SSKS"
"DOORS syndrome, 220500 (3)","FIME"
"Medullary thyroid carcinoma, familial, 155240 (3)","MTC"
"Chromosome 19q13.11 deletion syndrome, proximal (4)","C19DELq13.11p"
"Fanconi anemia, complementation group T, 616435 (3)","UBE2T"
"Pityriasis rubra pilaris, 173200 (3)","CARMA2"
"Efavirenz, poor metabolism of, 614546 (3)","EFVM"
"Goldberg-Shprintzen megacolon syndrome, 609460 (3)","KIAA1279"
"Alzheimer disease 8 (2)","AD8"
"Sengers syndrome, 212350 (3)","MULK"
"Verheij syndrome, 615583 (3)","PUF60"
"?Amelogenesis imperfecta, type IE, X-linked 2 (2)","AI1E2"
"Pneumothorax, primary spontaneous, 173600 (3)","BHD"
"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 14, 615351 (3)","KIAA1851"
"Spinocerebellar ataxia 8, 608768 (3)","ATXN8"
"Xeroderma pigmentosum, group A, 278700 (3)","XPAC"
"{Osteoarthritis susceptibility 1}, 165720 (3)","SRFP3"
"Dyschromatosis symmetrica hereditaria, 127400 (3)","AGS6"
"Kabuki syndrome 1, 147920 (3)","MLL2"
"Myelokathexis, isolated (3)","CXCR4"
"Bernard-Soulier syndrome, type A1 (recessive), 231200 (3)","VWDP"
"{Parkinson disease, susceptibility to}, 168600 (3)","HDL4"
"?Glutathioninuria, 231950 (3)","GGTD"
"Cardiomyopathy, dilated, 1FF, 613286 (3)","CMD2A"
"Ciliary dyskinesia, primary, 7, with or without situs inversus, 611884 (3)","DNAHC11"
"Joubert syndrome 6, 610688 (3)","TMEM67"
"{Glioblastoma 3}, 613029 (3)","FANCD1"
"Xeroderma pigmentosum, group D, 278730 (3)","XPD"
"?Mucopolysaccharidosis type IX, 601492 (3)","HYAL1"
"Ciliary dyskinesia, primary, 16, 614017 (3)","DNAL1"
"?Retinitis pigmentosa 81, 617871 (3)","RP81"
"Sjogren-Larsson syndrome, 270200 (3)","SLS"
"Endocrine-cerebroosteodysplasia, 612651 (3)","KIAA0936"
"Anemia, sideroblastic, 4, 182170 (3)","MOT2"
"Joubert syndrome 24, 616654 (3)","MKS8"
"Kosaki overgrowth syndrome, 616592 (3)","PENTT"
"Multiple synostoses syndrome 2, 610017 (3)","GDF5"
"Hepatocellular carcinoma, childhood type, somatic, 114550 (3)","OSFD"
"{Malignant hyperthermia susceptibility 5}, 601887 (3)","TTPP1"
"{Stroke, susceptibility to}, 601367 (3)","ALOX5AP"
"Cowchock syndrome, 310490 (3)","COWCK"
"Hereditary motor and sensory neuropathy, Okinawa type, 604484 (3)","TFG"
"Spastic paraplegia 44, autosomal recessive, 613206 (3)","SPG44"
"White sponge nevus 1, 193900 (3)","CYK4"
"Cardiomyopathy, familial hypertrophic, 26 (3)","CMH26"
"Pancreatic agenesis 2, 615935 (3)","PACA"
"Dyskeratosis congenita, autosomal recessive 3, 613988 (3)","TCAB1"
"{HIV-1 disease, delayed progression of} (3)","CCL5"
"Spastic paraplegia 23, 270750 (3)","RIP5"
"?Cutaneous telangiectasia and cancer syndrome, familial, 614564 (3)","ATR"
"{Osteoarthritis susceptibility 3}, 607850 (3)","ASPN"
"Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome, 175050 (3)","MYHRS"
"De la Chapelle dysplasia, 256050 (3)","SLC26A2"
"Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3)","AT1"
"?Orofacial cleft 10, 613705 (3)","SUMO1"
"Corneal dystrophy, Fuchs endothelial, 6, 613270 (3)","NIL2A"
"Dystonia 28, childhood-onset, 617284 (3)","KIAA0304"
"Mental retardation, X-linked, syndromic, Bain type, 300986 (3)","HNRNPH2"
"Retinitis pigmentosa 7 and digenic form, 608133 (3)","MDBS1"
"Epileptic encephalopathy, early infantile, 59, 617904 (3)","GABBR2"
"Myotonic dystrophy 2, 602668 (3)","PROMM"
"Cone-rod dystrophy 19, 615860 (3)","CORD19"
"Joubert syndrome 18, 614815 (3)","TCTN3"
"Albinism, oculocutaneous, type IB, 606952 (3)","OCA1A"
"{Diabetes mellitus, non-insulin-dependent, susceptibility to}, 125853 (3)","PDNP1"
"Gastrointestinal stromal tumor, 606444 (3)","SDH2"
"Trifunctional protein deficiency, 609015 (3)","MTPA"
"{Hemolytic uremic syndrome, atypical, susceptibility to, 4}, 612924 (3)","AHUS4"
"Deafness, autosomal dominant 13, 601868 (3)","OSMEDA"
"?Spinocerebellar ataxia, autosomal recessive 25, 617584 (3)","ATG5"
"?Meckel syndrome 8, 613885 (3)","TECT2"
"Retinitis pigmentosa 19, 601718 (3)","ARMD2"
"Mental retardation, X-linked, Snyder-Robinson type, 309583 (3)","SMS"
"Mental retardation, X-linked 88 (2)","MRX88"
"Multiple endocrine neoplasia IIA, 171400 (3)","MEN2A"
"Epileptic encephalopathy, early infantile, 54, 617391 (3)","SAFA"
"{?Major affective disorder 2} (2)","MAFD2"
"Retinitis pigmentosa-12, autosomal recessive, 600105 (3)","CRB1"
"{Stroke, hemorrhagic}, 614519 (3)","ACE"
"{Epilepsy, juvenile myoclonic, susceptibility to, 10}, 617924 (3)","ECO"
"Hyperaldosteronism, familial, type II, 605635 (3)","CLCN2"
"Bleeding disorder, platelet-type, 20, 616913 (3)","BDPLT20"
"Cole disease, 615522 (3)","ENPP1"
"Epileptic encephalopathy, early infantile, 9, 300088 (3)","KIAA1313"
"PEPCK deficiency, mitochondrial, 261650 (1)","PEPCK2"
"Adams-Oliver syndrome 2, 614219 (3)","DOCK6"
"Microphthalmia, isolated 3, 611038 (3)","RX"
"Spastic paraplegia 55, autosomal recessive, 615035 (3)","COXPD7"
"Spinal muscular atrophy, chronic distal, autosomal recessive (2)","SMAR"
"Epiphyseal dysplasia, multiple, 4, 226900 (3)","SLC26A2"
"Asplenia, isolated congenital, 271400 (3)","LAMR1"
"Joubert syndrome 16, 614465 (3)","TMEM138"
"Atrioventricular septal defect 3, 600309 (3)","ODOD"
"Long QT syndrome 1, 192500 (3)","KCNQ1"
"Myasthenic syndrome, congenital, 16, 614198 (3)","SCN4A"
"Lujan-Fryns syndrome, 309520 (3)","KIAA0192"
"Van Buchem disease, 239100 (3)","VBCH"
"Breast cancer, somatic, 114480 (3)","PIK3CA"
"Neuromuscular disease, congenital, with uniform type 1 fiber, 117000 (3)","MHS"
"Hystrix-like ichthyosis with deafness, 602540 (3)","KID"
"Spherocytosis, type 4, 612653 (3)","SAO"
"Hyperuricemic nephropathy, familial juvenile 1, 162000 (3)","FJHN"
"Prostate cancer 1, 601518 (3)","HPC1"
"Osteopetrosis, autosomal dominant 2, 166600 (3)","CLCN7"
"?FG syndrome 2, 300321 (3)","OPD2"
"Emphysema due to AAT deficiency, 613490 (3)","AAT"
"Dystonia-15, myoclonic (2)","DYT15"
"{Hirschsprung disease, susceptibility to, 2}, 600155 (3)","ABCDS"
"Leber congenital amaurosis 13, 612712 (3)","RDH12"
"Meckel syndrome 7, 267010 (3)","MKS7"
"Tumoral calcinosis, familial, normophosphatemic, 610455 (3)","SAMD9"
"Bart-Pumphrey syndrome, 149200 (3)","PPK"
"{HDL response to hormone replacement, augmented} (3)","ESR"
"{Hypertension, susceptibility to}, 145500 (2)","NOS2A"
"Epidermolysis bullosa simplex, Weber-Cockayne type, 131800 (3)","KRT5"
"Fundus albipunctatus, 136880 (3)","RDH5"
"Restrictive dermopathy, lethal, 275210 (3)","FACE1"
"Ehlers-Danlos syndrome, arthrochalasia type, 2, 617821 (3)","EDSARTH2"
"?Hemolytic anemia, congenital, X-linked, 301015 (3)","HACXL"
"{Amyotrophic lateral sclerosis, susceptibility to, 13}, 183090 (3)","ASL13"
"?Ciliary dyskinesia, primary, 37, 617577 (3)","HDHC7"
"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures, 618088 (3)","IRF2BPL"
"Dyschromatosis symmetrica hereditaria, 127400 (3)","ADAR"
"Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy, 605115 (3)","MCR"
"Microcephaly and chorioretinopathy, autosomal recessive, 2, 616171 (3)","SAK"
"Leukemia/lymphoma, T-cell (2)","TCL4"
"{Inflammatory bowel disease 1, Crohn disease}, 266600 (3)","BLAUS"
"Abetalipoproteinemia, 200100 (3)","MTP"
"Cole disease, 615522 (3)","M6S1"
"Diabetes mellitus, type II, 125853 (3)","HIHGHH"
"Spinal muscular atrophy, X-linked 2, infantile, 301830 (3)","UBE1"
"?Coloboma, ocular, 120200 (3)","PAX6"
"Myelofibrosis, somatic, 254450 (3)","LNK"
"Brugada syndrome 9, 616399 (3)","BRGDA9"
"Poretti-Boltshauser syndrome, 615960 (3)","PTBHS"
"Loeys-Dietz syndrome 5, 615582 (3)","LDS5"
"Papillon-Lefevre syndrome, 245000 (3)","HMS"
"Hyperostosis, endosteal, 144750 (3)","LRP7"
"Glaucoma 1A, primary open angle, 137750 (3)","GLC1A"
"von Willebrand disease, type 1, 193400 (3)","VWF"
"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980 (3)","NISBD2"
"Adrenocortical carcinoma, pediatric 202300 (3)","P53"
"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2, 616779 (3)","ARMD7"
"{Porphyria cutanea tarda, susceptibility to}, 176100 (3)","HFE1"
"Megalocornea 1, X-linked 309300 (3)","VOPT"
"Mental retardation, autosomal dominant 40, 616579 (3)","CHAMP1"
"Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, 616738 (3)","EVI1"
"[Skin/hair/eye pigmentation 3, blue/green eyes], 601800 (3)","OCA1A"
"Glioblastoma, somatic, 137800 (3)","NGL"
"Mucoepidermoid salivary gland carcinoma (3)","MAML2"
"Microcephaly, short stature, and limb abnormalities, 617604 (3)","C21orf60"
"Aplasia of lacrimal and salivary glands, 180920 (3)","FGF10"
"Endometrial carcinoma, somatic, 608089 (3)","MSH3"
"Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), 607459 (3)","MTDPS4B"
"46XY sex reversal 7, 233420 (3)","SRXY7"
"Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1), 308700 (3)","KMS"
"Myoclonic-atonic epilepsy, 616421 (3)","GABATR"
"Paget disease of bone 5, juvenile-onset, 239000 (3)","TNFRSF11B"
"Congenital disorder of glycosylation, type IIg, 611209 (3)","COG1"
"Corneal dystrophy, posterior polymorphous, 3, 609141 (3)","PPCD3"
"{Spina bifida, susceptibility to}, 182940 (3)","CCL2"
"Adenomas, salivary gland pleomorphic, somatic, 181030 (3)","PLAG1"
"Nemaline myopathy 6, autosomal dominant, 609273 (3)","NEM6"
"Blood group--Lutheran inhibitor, 111150 (3)","HBFQTL6"
"{Asthma, diminished response to antileukotriene treatment in}, 600807 (3)","ALOX5"
"Hypomagnesemia 1, intestinal, 602014 (3)","TRPM6"
"Retinitis pigmentosa, juvenile, 604393 (3)","AIPL1"
"Retinitis punctata albescens, 136880 (3)","RP7"
"Skin fragility-woolly hair syndrome, 607655 (3)","PPKS2"
"{Schizophrenia 15}, 613950 (3)","PROSAP2"
"Joubert syndrome 10, 300804 (3)","SGBS2"
"Craniofacial-skeletal-dermatologic dysplasia, 101600 (3)","BBDS"
"Spinal muscular atrophy, distal, autosomal recessive, 5, 614881 (3)","HSJ1"
"[Inosine triphosphatase deficiency], 613850 (3)","EIEE35"
"Salih myopathy, 611705 (3)","CMD1G"
"Corneal endothelial dystrophy, autosomal recessive, 217700 (3)","BTR1"
"Tuberous sclerosis-1, 191100 (3)","LAM"
"Hypomagnesemia 1, intestinal, 602014 (3)","CHAK2"
"Mental retardation, autosomal recessive 7, 611093 (3)","MRT22"
"Mitochondrial complex III deficiency, nuclear type 3, 615158 (3)","QPC"
"{?Macular degeneration, age-related}, 603075 (3)","AD2"
"{Melanoma, cutaneous malignant, 3}, 609048 (3)","CDK4"
"Cardiomyopathy, dilated, 1X, 611615 (3)","FCMD"
"Duane retraction syndrome 1 (2)","DUS"
"Mental retardation, X-linked, syndromic 33, 300966 (3)","DYT3"
"?Retinitis pigmentosa 66, 615233 (3)","RP66"
"?Spondyloepimetaphyseal dysplasia, aggrecan type, 612813 (3)","SSOAOD"
"Cryohydrocytosis, 185020 (3)","EPB3"
"Aland Island eye disease, 300600 (3)","CSNB2A"
"Hypotrichosis 8, 278150 (3)","P2RY5"
"Woolly hair, autosomal recessive 3, 616760 (3)","KRT24IRS1"
"{Warfarin sensitivity}, 122700 (3)","HEMB"
"Fanconi anemia, complementation group J, 609054 (3)","FANCJ"
"Spinal muscular atrophy-4, 271150 (3)","SMA1"
"Pulmonary hypertension, primary, 2, 615342 (3)","MADH6"
"{Attention deficit-hyperactivity disorder}, 143465 (2)","ADHD1"
"Craniometaphyseal dysplasia, 123000 (3)","CCAL2"
"Ciliary dyskinesia, primary, 24, 615481 (3)","CILD24"
"Mental retardation and distinctive facial features with or without cardiac defects, 616789 (3)","MRFACD"
"Xanthinuria, type II, 603592 (3)","MCS"
"Cortical dysplasia, complex, with other brain malformations 3, 615411 (3)","CDCBM3"
"[Blood group, Lutheran null], 247420 (3)","AU"
"Parkinson disease 19b, early-onset, 615528 (3)","PARK19"
"Sinoatrial node dysfunction and deafness, 614896 (3)","CACNL1A2"
"Brachydactyly, type B1, 113000 (3)","ROR2"
"Corneal endothelial dystrophy and perceptive deafness, 217400 (3)","CHED"
"{Mental health wellness-2} (2)","MHW2"
"Hypotonia-cystinuria syndrome (4)","DEL2p21"
"Joubert syndrome 5, 610188 (3)","CEP290"
"Renal tubular dysgenesis, 267430 (3)","SERPINA8"
"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)","MCAD"
"Brachydactyly, type A2, 112600 (3)","BDA1C"
"Lipodystrophy, familial partial, type 6, 615980 (3)","LIPE"
"Ectodermal dysplasia 13, hair/tooth type, 617392 (3)","KRM1"
"Lateral meningocele syndrome, 130720 (3)","LMNS"
"Leukotriene C4 synthase deficiency, 614037 (1)","LTC4S"
"Myasthenic syndrome, congenital, 3B, fast-channel, 616322 (3)","CMS3A"
"Cataract 11, syndromic, 610623 (3)","PITX3"
"Oocyte maturation defect 2, 616780 (3)","TUBB8"
"McCune-Albright syndrome, somatic, mosaic 174800 (3)","GNAS"
"{Leukemia, acute lymphoblastic, susceptibility to, 3}, 615545 (3)","ALL3"
"Chromosome 16p12.1 deletion syndrome, 520kb (4)","DEL16p12.1"
"Atelosteogenesis, type II, 256050 (3)","DTDST"
"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive, 617820 (3)","NMDAR1"
"?Retinitis pigmentosa, X-linked recessive, 6 (2)","RP6"
"Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1), 308700 (3)","HH1"
"Insensitivity to pain, congenital, 243000 (3)","HSAN2D"
"{Bardet-Biedl syndrome 14, modifier of}, 615991 (3)","NPHP11"
"?Avascular necrosis of femoral head, primary, 2, 617383 (3)","VROAC"
"Muscular dystrophy, limb-girdle, autosomal recessive 17, 613723 (3)","LGMDR17"
"Syndactyly, type III, 186100 (3)","CMDR"
"von Willebrand disease, types 2A, 2B, 2M, and 2N, 613554 (3)","VWF"
"{Septic shock, susceptibility to} (3)","TNF"
"Pancreatic agenesis and congenital heart defects, 600001 (3)","GATA6"
"Basal cell carcinoma, somatic, 605462 (3)","RASA1"
"Myopathy, myofibrillar, 3, 609200 (3)","MFM3"
"Amelogenesis imperfecta, type IH, 616221 (3)","ITGB6"
"Scapuloperoneal spinal muscular atrophy, 181405 (3)","SMAL"
"Senior-Loken syndrome 6, 610189 (3)","CEP290"
"?Al-Gazali-Bakalinova syndrome, 607131 (3)","ACLS"
"{Systemic lupus erythematous, association with susceptibility to, 6}, 609939 (3)","SLEB6"
"Polydactyly, postaxial, types A1 and B, 174200 (3)","PAPA"
"Long QT syndrome-3, 603830 (3)","CDCD2"
"{?Macular degeneration, age-related}, 603075 (3)","APOE"
"Retinitis pigmentosa 31, 609923 (3)","RP31"
"Hyper-IgD syndrome, 260920 (3)","MVK"
"?Charcot-Marie-Tooth disease, X-linked dominant, 6, 300905 (3)","CMTX6"
"Xeroderma pigmentosum, type F/Cockayne syndrome, 278760 (3)","XFEPS"
"Cardiac, facial, and digital anomalies with developmental delay, 618164 (3)","TRAF7"
"Desmosterolosis, 602398 (3)","KIAA0018"
"Myasthenic syndrome, congenital, 1A, slow-channel, 601462 (3)","CHRNA1"
"Congenital short bowel syndrome, 615237 (3)","CLMP"
"Left ventricular noncompaction 3, 601493 (3)","LVNC3"
"Amyotrophic lateral sclerosis 9, 611895 (3)","RNASE5"
"Brachydactyly, type A1, D, 616849 (3)","BDA1D"
"Corneal dystrophy, Avellino type, 607541 (3)","CSD2"
"Dystonia 25, 615073 (3)","DYT25"
"Leukodystrophy, hypomyelinating, 11, 616494 (3)","TCS3"
"Stankiewicz-Isidor syndrome, 617516 (3)","P55"
"Hepatocellular carcinoma, somatic, 114550 (3)","CLOVE"
"{Diabetes mellitus, noninsulin-dependent}, 125853 (3)","HL"
"Deafness, X-linked 2, 304400 (3)","POU3F4"
"Neuropathy, hereditary sensory, type IIC, 614213 (3)","ATSV"
"Optic atrophy 3 with cataract, 165300 (3)","OPA3"
"Lymphoma, non-Hodgkin, 605027 (3)","PRF1"
"Thrombocytopenia, X-linked, with or without dyserythropoietic anemia, 300367 (3)","XLTT"
"Tibial muscular dystrophy, tardive, 600334 (3)","LGMDR10"
"Hypokalemic periodic paralysis, type 1, 170400 (3)","TTPP1"
"Muscular dystrophy, limb-girdle, autosomal recessive 8, 254110 (3)","HT2A"
"[Blood group, globoside system], 615021 (3)","GLCT3"
"Albinism, oculocutaneous, type III, 203290 (3)","SHEP11"
"Fanconi anemia, complementation group J, 609054 (3)","BRIP1"
"Candidiasis, familial, 4, autosomal recessive, 613108 (3)","DECTIN1"
"Hemangioma, capillary infantile, somatic, 602089 (3)","PCL"
"?Fanconi renotubular syndrome 2, 613388 (3)","SLC17A2"
"Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1, 614388 (3)","DNM1L"
"MEND syndrome, 300960 (3)","CPX"
"Osteogenesis imperfecta, type II, 166210 (3)","OI3"
"[Blood group, P1PK system, P(k) phenotype], 111400 (3)","B3GALT3"
"Vitamin K-dependent clotting factors, combined deficiency of, 1, 277450 (3)","GGCX"
"Chromosome 6q11-q14 deletion syndrome (4)","DEL6q11q14"
"Epidermolysis bullosa simplex, Ogna type, 131950 (3)","PLEC1"
"Ventricular tachycardia, idiopathic, 192605 (3)","GNAI2"
"?Bardet-Biedl syndrome 18, 615995 (3)","BBIP10"
"Cerebroretinal microangiopathy with calcifications and cysts 2, 617341 (3)","AAF44"
"?Myopathy, scapulohumeroperoneal, 616852 (3)","ACTA1"
"Ciliary dyskinesia, primary, 26, 615500 (3)","CILD26"
"Mental retardation, autosomal dominant 31, 616158 (3)","PURA"
"Oliver-McFarlane syndrome, 275400 (3)","NTEMND"
"Digital clubbing, isolated congenital, 119900 (3)","PGDH1"
"Congenital short bowel syndrome, 615237 (3)","CSBS"
"{Autism, susceptibility to, X-linked 4}, 300830 (3)","PTCHD1"
"Anterior segment dysgenesis 7, with sclerocornea, 269400 (3)","KIAA0230"
"{Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1}, 614742 (3)","EST2"
"?Deafness, autosomal recessive 109, 618013 (3)","DFNB109"
"Polydactyly, postaxial, type A8, 618123 (3)","GLI1"
