"symbol","haploinsufficiency","triplosensitivity","online_report","date"
"DNAJB6","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DNAJB6&subject=","2017-05-31"
"DNAJC6","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DNAJC6&subject=","2018-10-17"
"DNASE1","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DNASE1&subject=","2017-06-01"
"DNMT3A","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DNMT3A&subject=","2018-04-29"
"DOCK7","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DOCK7&subject=","2018-10-23"
"DOCK8","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DOCK8&subject=","2019-01-07"
"DOK7","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DOK7&subject=","2018-10-18"
"DPAGT1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DPAGT1&subject=","2018-10-23"
"DPM1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DPM1&subject=","2018-10-18"
"DPM3","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DPM3&subject=","2017-05-31"
"DPP6","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DPP6&subject=","2019-06-26"
"DPYD","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DPYD&subject=","2018-05-24"
"DPYS","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DPYS&subject=","2017-05-31"
"DRD5","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DRD5&subject=","2017-06-01"
"DSC2","Some Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSC2&subject=","2019-01-07"
"DSC3","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSC3&subject=","2017-06-01"
"DSCAM","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSCAM&subject=","2019-08-28"
"DSE","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSE&subject=","2017-06-01"
"DSG2","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSG2&subject=","2017-05-31"
"DSG4","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSG4&subject=","2018-10-16"
"DSP","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSP&subject=","2017-05-31"
"DSPP","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DSPP&subject=","2017-05-31"
"DYM","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DYM&subject=","2017-12-06"
"DYNC2H1","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DYNC2H1&subject=","2017-06-01"
"DYRK1A","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=DYRK1A&subject=","2019-08-22"
"EARS2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EARS2&subject=","2018-10-17"
"EBP","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EBP&subject=","2019-08-22"
"EDA","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EDA&subject=","2019-08-22"
"EDNRB","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EDNRB&subject=","2019-08-22"
"EFNB1","Sufficient Evidence for Haploinsufficiency","Minimal Evidence for Triplosensitiivty","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EFNB1&subject=","2019-08-22"
"EFTUD2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EFTUD2&subject=","2019-08-22"
"EGR2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EGR2&subject=","2017-05-31"
"EHMT1","Sufficient Evidence for Haploinsufficiency","Minimal Evidence for Triplosensitiivty","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EHMT1&subject=","2019-08-22"
"EIF2AK3","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EIF2AK3&subject=","2017-05-31"
"EIF2B1","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EIF2B1&subject=","2017-05-31"
"EIF2B3","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EIF2B3&subject=","2018-10-16"
"EIF4A3","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EIF4A3&subject=","2018-10-25"
"ELAVL2","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ELAVL2&subject=","2018-11-28"
"ELK1","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ELK1&subject=","2017-05-31"
"ELN","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ELN&subject=","2019-08-22"
"ELOA3","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ELOA3&subject=","2017-05-12"
"EMX2","Some Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EMX2&subject=","2017-06-01"
"EN2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EN2&subject=","2017-10-27"
"ENG","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ENG&subject=","2019-08-22"
"ENO3","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ENO3&subject=","2017-05-31"
"ENPP1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ENPP1&subject=","2018-10-16"
"EP300","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EP300&subject=","2019-08-22"
"EPB42","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EPB42&subject=","2018-10-17"
"EPM2A","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EPM2A&subject=","2018-11-13"
"EPS8","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EPS8&subject=","2018-02-07"
"ERCC1","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERCC1&subject=","2018-10-17"
"ERCC2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERCC2&subject=","2019-01-07"
"ERCC5","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERCC5&subject=","2019-01-07"
"ERCC6L2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERCC6L2&subject=","2018-10-25"
"ERCC8","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERCC8&subject=","2018-10-16"
"ERF","Some Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERF&subject=","2017-05-31"
"ERMARD","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ERMARD&subject=","2017-06-01"
"ESCO2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ESCO2&subject=","2017-06-01"
"ESPN","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ESPN&subject=","2018-02-07"
"ETFB","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ETFB&subject=","2018-10-17"
"ETFDH","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ETFDH&subject=","2017-05-31"
"EVC2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EVC2&subject=","2017-05-31"
"EVX2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EVX2&subject=","2017-05-12"
"EXOSC3","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EXOSC3&subject=","2018-10-22"
"EXPH5","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EXPH5&subject=","2018-10-17"
"EXT1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EXT1&subject=","2019-08-13"
"EXT2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EXT2&subject=","2019-08-13"
"EYA1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EYA1&subject=","2019-08-13"
"EYA4","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EYA4&subject=","2019-08-22"
"EYS","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=EYS&subject=","2017-06-01"
"F10","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F10&subject=","2017-05-31"
"F13A1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F13A1&subject=","2018-10-19"
"F13B","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F13B&subject=","2018-10-18"
"F5","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F5&subject=","2018-01-11"
"F7","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F7&subject=","2018-10-25"
"F8","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F8&subject=","2019-08-22"
"F9","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=F9&subject=","2019-08-22"
"FA2H","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FA2H&subject=","2018-10-17"
"FADD","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FADD&subject=","2018-11-13"
"FAM161A","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FAM161A&subject=","2018-10-18"
"FAM20C","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FAM20C&subject=","2017-06-01"
"FAN1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FAN1&subject=","2018-10-25"
"FANCA","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FANCA&subject=","2019-01-07"
"FANCB","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FANCB&subject=","2019-08-22"
"FANCC","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FANCC&subject=","2019-01-07"
"FANCD2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FANCD2&subject=","2019-01-07"
"FANCF","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FANCF&subject=","2019-01-07"
"FANCI","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FANCI&subject=","2019-01-07"
"FARS2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FARS2&subject=","2018-11-12"
"FAS","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FAS&subject=","2017-05-31"
"FASLG","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FASLG&subject=","2019-01-07"
"FBN1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FBN1&subject=","2019-08-22"
"FBP1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FBP1&subject=","2018-10-17"
"FBXO7","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FBXO7&subject=","2017-05-31"
"FBXW11","No Evidence for Haploinsufficiency","Minimal Evidence for Triplosensitiivty","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FBXW11&subject=","2017-05-31"
"FBXW4","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FBXW4&subject=","2017-06-01"
"FGD1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGD1&subject=","2019-08-22"
"FGD4","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGD4&subject=","2018-11-12"
"FGF10","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGF10&subject=","2019-08-22"
"FGF3","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGF3&subject=","2018-10-16"
"FGFR1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGFR1&subject=","2019-08-14"
"FGFR3","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGFR3&subject=","2019-08-06"
"FGFRL1","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FGFRL1&subject=","2017-06-01"
"FHIT","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FHIT&subject=","2018-10-24"
"FKBP14","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FKBP14&subject=","2018-10-19"
"FLCN","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FLCN&subject=","2019-08-22"
"FLG","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FLG&subject=","2019-08-22"
"FLNA","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FLNA&subject=","2019-08-22"
"FLNB","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FLNB&subject=","2017-06-01"
"FLVCR2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FLVCR2&subject=","2018-10-18"
"FMR1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FMR1&subject=","2019-08-22"
"FOLR1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOLR1&subject=","2019-06-25"
"FOXC1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXC1&subject=","2019-08-13"
"FOXC2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXC2&subject=","2019-08-22"
"FOXE1","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXE1&subject=","2018-10-25"
"FOXE3","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXE3&subject=","2017-12-13"
"FOXF1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXF1&subject=","2019-08-22"
"FOXG1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXG1&subject=","2019-08-14"
"FOXL2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXL2&subject=","2019-08-22"
"FOXP1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXP1&subject=","2019-08-22"
"FOXP2","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXP2&subject=","2018-10-10"
"FOXRED1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FOXRED1&subject=","2018-10-16"
"FREM1","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FREM1&subject=","2017-05-12"
"FRMD7","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FRMD7&subject=","2019-08-22"
"FSHB","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FSHB&subject=","2017-05-31"
"FTCD","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FTCD&subject=","2018-10-16"
"FTL","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FTL&subject=","2017-05-31"
"FTSJ1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FTSJ1&subject=","2019-08-22"
"FXN","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FXN&subject=","2018-10-16"
"FYCO1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FYCO1&subject=","2017-06-01"
"FZD4","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=FZD4&subject=","2019-08-22"
"GAA","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=GAA&subject=","2017-05-31"
"GABRA1","Some Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=GABRA1&subject=","2017-08-09"
"GABRB3","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=GABRB3&subject=","2017-06-13"
"GABRG2","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=GABRG2&subject=","2018-09-25"
"GALC","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=GALC&subject=","2018-11-09"
